Seller,Department,Revenue,Revenue Goal,Margin,Margin Goal,Date,Sales Quantity,Customers
Camila Carvalho,Casa,4327.43,2189.58,0.4,0.24,2017-01-08,30,63
Diego Cardoso,Vestuário,1614.1,4397.98,0.14,0.2,2017-01-08,12,59
Jorge Santos,Brinquedo,5596.4,2633.49,0.1,0.29,2017-01-08,39,200
Raphael Silva,Papelaria,283.41,1592.76,0.45,0.5,2017-01-08,3,13
Caroline Reis,Papelaria,1929.96,1480.61,0.45,0.5,2017-01-08,14,75
Letícia Nascimento,Eletrônicos,1041.11,2876.76,0.25,0.18,2017-01-09,6,19
Ana Sousa,Eletrônicos,5599.41,4181.39,0.21,0.19,2017-01-09,41,234
Gustavo Martins,Eletrônicos,7133.27,3442.81,0.25,0.18,2017-01-09,66,219
Beatriz Santos,Vestuário,1889.02,1765.11,0.11,0.15,2017-01-09,16,45
Camila Lima,Vestuário,3879.79,4259.39,0.11,0.15,2017-01-09,34,124
Thiago Barbosa,Acessórios,1759.1,2056.59,0.78,0.5,2017-01-09,14,29
Letícia Ribeiro,Acessórios,1055.07,843.42,0.32,0.44,2017-01-09,6,24
Enzo Nascimento,Casa,2155.06,2101.58,0.29,0.25,2017-01-09,14,65
Guilherme Santos,Casa,10808.16,5362.72,0.34,0.23,2017-01-09,117,273
Vitória Ribeiro,Brinquedo,6897.15,3560.6,0.36,0.26,2017-01-09,58,256
Julia Araújo,Esportes,4932.23,4345.68,0.21,0.27,2017-01-09,36,166
Lucas Rodrigues,Esportes,9700.21,4554.94,0.45,0.31,2017-01-09,72,334
Thiago Carvalho,Esportes,936.07,5406.97,0.16,0.27,2017-01-09,9,39
Mateus Barbosa,Eletrônicos,5424.77,3303.09,0.32,0.17,2017-01-09,39,189
Camila Carvalho,Casa,8523.63,5683.0,0.37,0.24,2017-01-09,65,130
Diego Cardoso,Vestuário,3786.77,3047.6,0.16,0.2,2017-01-09,28,132
Jorge Santos,Brinquedo,7842.48,2759.24,0.29,0.26,2017-01-09,62,216
Raphael Silva,Papelaria,2064.63,1936.76,0.29,0.4,2017-01-09,17,33
Caroline Reis,Papelaria,1847.82,741.47,0.27,0.38,2017-01-09,16,40
Letícia Nascimento,Eletrônicos,197.77,4063.41,0.22,0.18,2017-01-10,2,6
Ana Sousa,Eletrônicos,2332.74,5392.86,0.25,0.2,2017-01-10,17,63
Gustavo Martins,Eletrônicos,6586.93,6517.56,0.27,0.21,2017-01-10,58,148
Beatriz Santos,Vestuário,4756.82,4926.11,0.16,0.17,2017-01-10,34,180
Camila Lima,Vestuário,4662.01,4827.9,0.24,0.15,2017-01-10,34,144
Thiago Barbosa,Acessórios,645.39,1246.0,0.64,0.52,2017-01-10,5,21
Letícia Ribeiro,Acessórios,1074.72,889.75,0.62,0.54,2017-01-10,6,14
Enzo Nascimento,Casa,10463.95,5042.87,0.28,0.23,2017-01-10,138,475
Guilherme Santos,Casa,635.54,4628.92,0.22,0.25,2017-01-10,3,12
Vitória Ribeiro,Brinquedo,854.16,5595.45,0.35,0.26,2017-01-10,3,7
Julia Araújo,Esportes,9798.52,7485.61,0.39,0.3,2017-01-10,87,163
Lucas Rodrigues,Esportes,593.9,6119.21,0.31,0.35,2017-01-10,6,32
Thiago Carvalho,Esportes,9447.6,2891.25,0.36,0.34,2017-01-10,81,215
Mateus Barbosa,Eletrônicos,4761.19,2201.01,0.16,0.18,2017-01-10,36,109
Camila Carvalho,Casa,7496.94,7203.57,0.22,0.3,2017-01-10,63,336
Diego Cardoso,Vestuário,2146.67,4970.91,0.24,0.18,2017-01-10,15,58
Jorge Santos,Brinquedo,3680.73,2798.71,0.2,0.3,2017-01-10,27,123
Raphael Silva,Papelaria,1150.4,1282.08,0.72,0.49,2017-01-10,6,31
Caroline Reis,Papelaria,1527.12,1128.83,0.29,0.43,2017-01-10,14,30
Letícia Nascimento,Eletrônicos,7231.32,4970.13,0.26,0.18,2017-01-11,58,260
Ana Sousa,Eletrônicos,5297.69,6537.05,0.18,0.22,2017-01-11,42,171
Gustavo Martins,Eletrônicos,1305.85,6772.8,0.22,0.18,2017-01-11,11,63
Beatriz Santos,Vestuário,1238.0,3437.67,0.19,0.15,2017-01-11,9,28
Camila Lima,Vestuário,7073.81,4845.47,0.17,0.15,2017-01-11,53,188
Thiago Barbosa,Acessórios,2976.64,1616.85,0.62,0.5,2017-01-11,26,138
Letícia Ribeiro,Acessórios,1021.56,2270.71,0.78,0.44,2017-01-11,8,37
Enzo Nascimento,Casa,6202.89,4335.93,0.42,0.28,2017-01-11,46,124
Guilherme Santos,Casa,9774.29,7241.63,0.2,0.31,2017-01-11,86,281
Vitória Ribeiro,Brinquedo,3370.59,5475.96,0.25,0.28,2017-01-11,27,88
Julia Araújo,Esportes,3046.36,3548.69,0.36,0.39,2017-01-11,23,131
Lucas Rodrigues,Esportes,5136.88,2706.52,0.34,0.3,2017-01-11,44,110
Thiago Carvalho,Esportes,5766.41,4923.91,0.31,0.3,2017-01-11,46,212
Mateus Barbosa,Eletrônicos,1933.14,5343.84,0.22,0.18,2017-01-11,16,30
Camila Carvalho,Casa,8644.49,2279.98,0.35,0.3,2017-01-11,74,226
Diego Cardoso,Vestuário,5808.17,2797.08,0.21,0.2,2017-01-11,44,147
Jorge Santos,Brinquedo,7770.84,3579.83,0.11,0.25,2017-01-11,62,317
Raphael Silva,Papelaria,1656.63,1818.98,0.65,0.43,2017-01-11,14,76
Caroline Reis,Papelaria,1481.83,1194.87,0.58,0.43,2017-01-11,8,23
Letícia Nascimento,Eletrônicos,6282.69,2528.21,0.19,0.24,2017-01-12,47,144
Ana Sousa,Eletrônicos,3331.99,5318.97,0.23,0.23,2017-01-12,23,44
Gustavo Martins,Eletrônicos,8126.16,6182.84,0.17,0.18,2017-01-12,72,151
Beatriz Santos,Vestuário,5159.46,4248.56,0.25,0.14,2017-01-12,42,158
Camila Lima,Vestuário,608.43,3749.95,0.27,0.21,2017-01-12,4,19
Thiago Barbosa,Acessórios,2677.88,1491.64,0.26,0.52,2017-01-12,22,75
Letícia Ribeiro,Acessórios,3118.13,1510.52,0.62,0.58,2017-01-12,23,57
Enzo Nascimento,Casa,702.27,6831.07,0.21,0.26,2017-01-12,5,9
Guilherme Santos,Casa,1786.33,5228.5,0.3,0.31,2017-01-12,11,35
Vitória Ribeiro,Brinquedo,1465.79,1781.15,0.36,0.26,2017-01-12,10,45
Julia Araújo,Esportes,2621.69,6998.46,0.18,0.33,2017-01-12,20,55
Lucas Rodrigues,Esportes,2754.6,3305.91,0.13,0.36,2017-01-12,22,123
Thiago Carvalho,Esportes,9297.35,5677.46,0.2,0.31,2017-01-12,83,164
Mateus Barbosa,Eletrônicos,3397.33,4773.97,0.23,0.19,2017-01-12,27,87
Camila Carvalho,Casa,2924.27,7128.39,0.18,0.26,2017-01-12,23,105
Diego Cardoso,Vestuário,3511.28,2218.26,0.19,0.18,2017-01-12,27,122
Jorge Santos,Brinquedo,7863.18,2715.39,0.39,0.27,2017-01-12,58,99
Raphael Silva,Papelaria,797.43,1359.69,0.56,0.49,2017-01-12,6,32
Caroline Reis,Papelaria,183.87,1420.89,0.45,0.52,2017-01-12,2,5
Letícia Nascimento,Eletrônicos,2843.34,5869.3,0.22,0.19,2017-01-13,22,60
Ana Sousa,Eletrônicos,6113.22,4946.69,0.24,0.22,2017-01-13,47,238
Gustavo Martins,Eletrônicos,6323.76,6073.93,0.23,0.23,2017-01-13,46,110
Beatriz Santos,Vestuário,4652.96,2497.13,0.16,0.18,2017-01-13,39,91
Camila Lima,Vestuário,5254.95,1646.44,0.13,0.19,2017-01-13,40,74
Thiago Barbosa,Acessórios,679.41,904.92,0.52,0.6,2017-01-13,6,28
Letícia Ribeiro,Acessórios,1922.36,2423.82,0.7,0.46,2017-01-13,14,45
Enzo Nascimento,Casa,9179.5,4930.21,0.37,0.3,2017-01-13,80,293
Guilherme Santos,Casa,3888.98,2712.54,0.43,0.23,2017-01-13,32,66
Vitória Ribeiro,Brinquedo,7659.5,5155.8,0.32,0.3,2017-01-13,66,213
Julia Araújo,Esportes,9965.15,6390.56,0.27,0.36,2017-01-13,80,160
Lucas Rodrigues,Esportes,327.9,4885.4,0.31,0.35,2017-01-13,2,7
Thiago Carvalho,Esportes,6983.76,5154.88,0.45,0.38,2017-01-13,59,211
Mateus Barbosa,Eletrônicos,1183.8,2940.13,0.09,0.23,2017-01-13,11,20
Camila Carvalho,Casa,6313.31,7551.48,0.19,0.23,2017-01-13,42,170
Diego Cardoso,Vestuário,5895.27,4831.69,0.13,0.17,2017-01-13,48,134
Jorge Santos,Brinquedo,1230.91,5527.84,0.19,0.25,2017-01-13,10,35
Raphael Silva,Papelaria,314.91,1845.53,0.25,0.45,2017-01-13,2,5
Caroline Reis,Papelaria,1875.2,1627.63,0.68,0.43,2017-01-13,14,63
Letícia Nascimento,Eletrônicos,7099.06,2529.04,0.18,0.17,2017-01-14,58,284
Ana Sousa,Eletrônicos,4738.98,3843.68,0.31,0.16,2017-01-14,34,182
Gustavo Martins,Eletrônicos,3630.28,4026.5,0.31,0.23,2017-01-14,27,154
Beatriz Santos,Vestuário,824.92,3961.93,0.18,0.21,2017-01-14,3,5
Camila Lima,Vestuário,2639.75,2843.97,0.11,0.15,2017-01-14,23,94
Thiago Barbosa,Acessórios,3032.24,1531.97,0.6,0.52,2017-01-14,23,105
Letícia Ribeiro,Acessórios,2154.34,689.52,0.68,0.44,2017-01-14,16,65
Enzo Nascimento,Casa,1572.47,5430.56,0.13,0.31,2017-01-14,11,55
Guilherme Santos,Casa,2456.8,3322.07,0.4,0.25,2017-01-14,18,43
Vitória Ribeiro,Brinquedo,1291.38,5330.29,0.1,0.29,2017-01-14,11,43
Julia Araújo,Esportes,1649.84,2602.04,0.23,0.29,2017-01-14,14,34
Lucas Rodrigues,Esportes,6869.69,2016.78,0.13,0.36,2017-01-14,59,152
Thiago Carvalho,Esportes,2592.4,3690.29,0.2,0.27,2017-01-14,21,49
Mateus Barbosa,Eletrônicos,7093.93,4455.23,0.26,0.2,2017-01-14,57,287
Camila Carvalho,Casa,8671.41,5120.05,0.14,0.28,2017-01-14,72,269
Diego Cardoso,Vestuário,6746.0,1464.61,0.23,0.2,2017-01-14,50,182
Jorge Santos,Brinquedo,4198.81,3418.75,0.39,0.21,2017-01-14,35,193
Raphael Silva,Papelaria,1353.99,1111.25,0.56,0.45,2017-01-14,8,22
Caroline Reis,Papelaria,2526.24,615.11,0.22,0.47,2017-01-14,23,111
Letícia Nascimento,Eletrônicos,785.69,3153.69,0.23,0.2,2017-01-15,4,19
Ana Sousa,Eletrônicos,3207.17,6884.15,0.21,0.2,2017-01-15,26,57
Gustavo Martins,Eletrônicos,5822.15,2242.15,0.25,0.23,2017-01-15,42,160
Beatriz Santos,Vestuário,4684.97,4285.73,0.22,0.15,2017-01-15,38,112
Camila Lima,Vestuário,3289.77,2184.38,0.14,0.17,2017-01-15,26,95
Thiago Barbosa,Acessórios,1520.42,832.85,0.46,0.54,2017-01-15,11,53
Letícia Ribeiro,Acessórios,1374.55,944.73,0.76,0.42,2017-01-15,8,15
Enzo Nascimento,Casa,9256.61,2579.86,0.14,0.3,2017-01-15,72,239
Guilherme Santos,Casa,9038.84,5380.92,0.31,0.29,2017-01-15,72,216
Vitória Ribeiro,Brinquedo,2707.33,1968.03,0.21,0.27,2017-01-15,22,85
Julia Araújo,Esportes,7771.67,6747.21,0.42,0.39,2017-01-15,65,371
Lucas Rodrigues,Esportes,6256.61,3846.84,0.35,0.29,2017-01-15,45,235
Thiago Carvalho,Esportes,6826.02,3131.35,0.17,0.36,2017-01-15,50,200
Mateus Barbosa,Eletrônicos,3602.59,5681.35,0.22,0.22,2017-01-15,28,138
Camila Carvalho,Casa,9402.31,7910.06,0.39,0.29,2017-01-15,83,168
Diego Cardoso,Vestuário,4627.47,1398.07,0.27,0.2,2017-01-15,35,171
Jorge Santos,Brinquedo,2223.68,2219.4,0.31,0.23,2017-01-15,17,98
Raphael Silva,Papelaria,975.27,513.23,0.65,0.47,2017-01-15,5,18
Caroline Reis,Papelaria,1141.17,718.52,0.52,0.36,2017-01-15,8,32
Letícia Nascimento,Eletrônicos,7134.91,2843.25,0.18,0.18,2017-01-16,63,324
Ana Sousa,Eletrônicos,3625.85,5468.76,0.26,0.21,2017-01-16,29,108
Gustavo Martins,Eletrônicos,965.55,2000.74,0.12,0.21,2017-01-16,9,15
Beatriz Santos,Vestuário,4846.31,2353.94,0.21,0.17,2017-01-16,39,137
Camila Lima,Vestuário,3223.21,2358.07,0.23,0.15,2017-01-16,23,73
Thiago Barbosa,Acessórios,1569.15,1198.63,0.6,0.5,2017-01-16,14,60
Letícia Ribeiro,Acessórios,2399.23,736.29,0.44,0.52,2017-01-16,16,59
Enzo Nascimento,Casa,285.28,3838.98,0.18,0.23,2017-01-16,2,4
Guilherme Santos,Casa,2983.29,4000.49,0.11,0.3,2017-01-16,23,55
Vitória Ribeiro,Brinquedo,1510.2,3082.49,0.31,0.25,2017-01-16,12,25
Julia Araújo,Esportes,8611.4,6399.62,0.16,0.38,2017-01-16,68,214
Lucas Rodrigues,Esportes,614.82,1977.25,0.49,0.38,2017-01-16,3,7
Thiago Carvalho,Esportes,6007.44,5092.21,0.4,0.31,2017-01-16,44,200
Mateus Barbosa,Eletrônicos,1247.52,1836.12,0.16,0.22,2017-01-16,9,31
Camila Carvalho,Casa,6930.76,7048.09,0.42,0.23,2017-01-16,56,231
Diego Cardoso,Vestuário,6039.65,2242.02,0.2,0.17,2017-01-16,44,79
Jorge Santos,Brinquedo,3221.48,2780.38,0.2,0.23,2017-01-16,23,111
Raphael Silva,Papelaria,507.99,1275.85,0.23,0.45,2017-01-16,3,7
Caroline Reis,Papelaria,2515.95,1032.26,0.58,0.5,2017-01-16,15,83
Letícia Nascimento,Eletrônicos,7778.07,2952.82,0.11,0.18,2017-01-17,59,199
Ana Sousa,Eletrônicos,5793.9,5668.96,0.24,0.18,2017-01-17,48,212
Gustavo Martins,Eletrônicos,7384.41,4289.5,0.26,0.22,2017-01-17,59,198
Beatriz Santos,Vestuário,3271.22,4889.1,0.19,0.18,2017-01-17,24,98
Camila Lima,Vestuário,4500.26,4656.2,0.2,0.15,2017-01-17,36,134
Thiago Barbosa,Acessórios,303.75,1507.65,0.38,0.46,2017-01-17,2,3
Letícia Ribeiro,Acessórios,261.36,1634.26,0.38,0.5,2017-01-17,3,10
Enzo Nascimento,Casa,820.93,7046.11,0.13,0.32,2017-01-17,4,21
Guilherme Santos,Casa,9512.65,5735.58,0.28,0.28,2017-01-17,86,260
Vitória Ribeiro,Brinquedo,4454.37,4860.65,0.37,0.24,2017-01-17,36,159
Julia Araújo,Esportes,8373.47,5532.71,0.26,0.33,2017-01-17,66,288
